0,78,255,22.05; 0,0,196,19.16; 0,37,255,21.25; 0,1,206,19.95; 0,0,190,19.05; 0,61,255,21.75; 0,99,255,22.45; 0,100,255,22.55; 0,21,252,20.75; 0,33,255,21.16; 0,132,255,23.25; 0,27,254,21.05; 0,25,254,21.05; 0,10,251,20.45; 0,23,254,20.84; 0,64,255,21.75; 0,4,238,19.84; 0,90,255,22.45; 0,0,187,18.95; 0,160,255,24.05; 0,7,255,20.55; 0,87,255,22.25; 0,145,255,23.45; 0,152,255,23.55; 0,173,255,24.34; 6,255,250,25.75; 74,255,182,27.25; 124,255,132,28.16; 253,250,2,30.84; 255,113,0,34.06; 235,254,20,30.45; 255,40,0,35.34; 189,0,0,37.44; 255,144,0,33.25; 255,150,0,33.06; 255,221,0,31.45; 255,127,0,33.66; 255,18,0,35.94; 255,129,0,33.34; 255,131,0,33.44; 255,143,0,33.06; 255,49,0,35.16; 255,50,0,35.06; 255,91,0,34.25; 255,56,0,34.84; 255,162,0,32.66; 255,42,0,35.34; 218,255,38,30.16; 255,156,0,32.84; 255,93,0,34.34; 255,31,0,35.84; 255,124,0,33.66; 255,106,0,33.94; 255,159,0,32.75; 255,36,0,35.34; 235,1,0,36.75; 255,133,0,33.44; 255,43,0,35.44; 255,141,0,33.25; 255,134,0,33.44; 255,137,0,33.16; 255,83,0,34.44; 253,25,0,35.75; 255,65,0,35.06; 255,65,0,34.84; 255,216,0,31.75; 255,62,0,34.94; 255,61,0,34.94; 255,100,0,34.06; 128,0,0,38.75; 254,45,0,35.56; 255,146,0,32.84; 255,142,0,33.16; 255,114,0,33.75; 255,73,0,34.56; 255,150,0,33.06; 255,164,0,32.44; 255,55,0,35.06; 255,119,0,33.75; 255,155,0,33.06
0,1,220,19.84; 0,32,254,21.05; 0,79,255,22.16; 0,0,193,19.16; 0,0,187,18.95; 0,0,204,19.55; 0,1,218,19.95; 0,20,251,20.75; 0,131,255,23.34; 0,0,141,18.16; 0,32,255,21.34; 0,147,255,23.66; 0,0,134,17.84; 0,9,250,20.45; 0,160,255,23.95; 0,80,255,22.16; 0,82,255,22.25; 0,57,255,21.45; 0,100,255,22.75; 0,229,255,25.25; 0,94,255,22.34; 0,102,255,22.66; 0,164,255,23.95; 5,251,251,25.75; 6,254,250,25.95; 193,255,63,29.66; 254,249,1,30.95; 178,255,78,29.25; 255,129,0,33.44; 254,244,1,31.25; 255,79,0,34.66; 255,36,0,35.56; 255,80,0,34.56; 255,174,0,32.44; 255,71,0,34.94; 255,129,0,33.56; 255,79,0,34.56; 226,255,30,30.34; 255,75,0,34.75; 255,21,0,35.94; 255,68,0,34.84; 255,111,0,34.06; 255,148,0,33.06; 255,113,0,33.75; 255,155,0,32.94; 255,66,0,34.84; 255,162,0,32.56; 255,129,0,33.56; 254,34,0,35.56; 255,147,0,32.94; 255,89,0,34.44; 255,142,0,33.25; 255,190,0,32.16; 251,7,0,36.25; 254,26,0,35.66; 255,109,0,34.06; 254,233,1,31.45; 255,156,0,32.66; 255,144,0,33.06; 255,58,0,35.06; 255,123,0,33.66; 255,87,0,34.34; 255,102,0,34.06; 255,82,0,34.44; 255,118,0,33.56; 255,70,0,34.66; 233,3,0,36.56; 255,78,0,34.56; 255,55,0,35.16; 255,112,0,33.75; 255,228,0,31.34; 255,106,0,34.16; 229,1,0,36.75; 255,58,0,35.06; 255,72,0,34.75; 245,7,0,36.25; 255,159,0,32.84; 255,212,0,31.55; 255,151,0,33.06; 255,199,0,32.16
0,12,246,20.55; 0,87,255,22.45; 0,0,135,17.84; 0,0,194,19.25; 0,0,135,17.95; 0,0,139,18.16; 0,100,255,22.66; 0,0,136,17.84; 0,49,255,21.55; 0,46,255,21.66; 0,8,245,20.25; 0,0,177,18.75; 0,30,254,21.25; 0,102,255,22.75; 0,112,255,22.95; 0,160,255,23.95; 0,61,255,21.66; 0,105,255,22.84; 0,15,252,20.66; 0,66,255,21.75; 0,103,255,22.75; 1,238,254,25.45; 0,81,255,22.05; 5,253,251,25.95; 201,255,55,29.84; 130,255,126,28.34; 255,131,0,33.56; 255,132,0,33.56; 254,245,1,31.05; 255,27,0,35.84; 255,124,0,33.44; 255,107,0,34.16; 255,128,0,33.56; 148,0,0,38.44; 255,167,0,32.66; 255,145,0,33.06; 255,224,0,31.66; 255,112,0,33.94; 255,84,0,34.44; 255,131,0,33.44; 255,134,0,33.34; 255,134,0,33.34; 255,34,0,35.66; 255,50,0,35.16; 255,37,0,35.56; 255,92,0,34.25; 255,149,0,33.06; 243,10,0,36.44; 255,109,0,33.94; 255,111,0,33.94; 255,118,0,33.66; 255,68,0,34.84; 255,40,0,35.34; 252,11,0,36.16; 255,59,0,34.84; 255,116,0,33.66; 255,38,0,35.34; 221,0,0,37.25; 255,128,0,33.66; 255,59,0,34.94; 244,3,0,36.56; 255,185,0,32.25; 255,116,0,33.66; 255,67,0,34.94; 255,65,0,34.84; 255,65,0,34.94; 253,48,0,35.56; 226,0,0,36.75; 255,194,0,32.34; 217,0,0,37.06; 255,133,0,33.34; 255,144,0,33.06; 255,65,0,34.94; 253,30,0,35.75; 175,0,0,38.06; 221,0,0,37.16; 255,105,0,34.06; 255,54,0,35.16; 236,4,0,36.56; 255,212,0,31.75
0,80,255,21.95; 0,81,255,22.05; 0,85,255,22.55; 0,0,134,17.84; 0,82,255,22.16; 0,0,137,17.84; 0,102,255,22.66; 0,0,209,19.55; 0,0,183,18.84; 0,0,203,19.45; 0,102,255,22.66; 0,1,230,19.95; 0,16,251,20.75; 0,83,255,22.25; 0,74,255,21.95; 0,151,255,23.66; 0,20,251,20.75; 0,26,254,20.84; 0,173,255,24.16; 0,107,255,22.75; 0,136,255,23.45; 0,210,255,24.75; 2,237,254,25.34; 133,255,123,28.45; 89,255,167,27.55; 255,230,0,31.45; 255,142,0,33.25; 255,192,0,32.16; 255,162,0,32.56; 255,126,0,33.56; 255,118,0,33.75; 255,122,0,33.56; 255,185,0,32.34; 255,182,0,32.34; 255,215,0,31.45; 255,89,0,34.25; 255,131,0,33.44; 255,70,0,34.94; 255,89,0,34.25; 255,139,0,33.16; 255,155,0,32.75; 255,113,0,33.94; 255,162,0,32.44; 252,19,0,36.16; 255,44,0,35.34; 255,68,0,34.75; 255,123,0,33.56; 255,108,0,33.94; 255,98,0,34.25; 255,72,0,34.75; 255,81,0,34.56; 255,194,0,31.95; 254,26,0,35.75; 255,57,0,34.94; 252,9,0,36.34; 255,100,0,34.06; 248,249,7,30.84; 252,11,0,36.25; 255,44,0,35.25; 255,67,0,34.84; 255,198,0,31.84; 255,84,0,34.34; 251,12,0,36.16; 255,138,0,33.06; 255,214,0,31.75; 255,125,0,33.44; 255,104,0,34.06; 214,0,0,37.44; 255,92,0,34.44; 255,219,0,31.66; 255,193,0,32.25; 255,131,0,33.34; 255,128,0,33.56; 255,116,0,33.84; 255,150,0,32.84; 255,104,0,34.16; 255,133,0,33.34; 255,129,0,33.44; 255,96,0,34.25; 255,93,0,34.25
0,0,133,17.84; 0,1,232,19.84; 0,12,250,20.66; 0,0,159,18.66; 0,20,252,20.95; 0,123,255,23.25; 0,0,211,19.75; 0,0,201,19.34; 0,54,255,21.55; 0,0,207,19.45; 0,7,244,20.55; 0,0,182,18.75; 0,4,240,20.25; 0,0,225,19.66; 0,93,255,22.55; 0,47,255,21.25; 0,2,226,19.84; 0,58,255,21.66; 0,78,255,22.05; 0,111,255,22.84; 0,54,255,21.34; 48,255,208,26.66; 89,255,167,27.55; 132,255,124,28.45; 169,255,87,29.16; 255,172,0,32.44; 249,4,0,36.44; 254,26,0,35.56; 255,222,0,31.55; 255,137,0,33.25; 255,113,0,33.94; 255,112,0,34.06; 255,114,0,33.75; 255,67,0,35.06; 255,144,0,33.16; 255,106,0,34.06; 255,61,0,35.34; 255,135,0,33.34; 255,129,0,33.56; 255,91,0,34.34; 186,255,70,29.55; 255,231,0,31.25; 255,234,0,31.16; 255,32,0,35.66; 255,91,0,34.25; 255,87,0,34.34; 255,115,0,33.75; 255,130,0,33.16; 255,118,0,33.66; 255,120,0,33.66; 253,18,0,36.16; 255,37,0,35.56; 255,57,0,34.84; 255,95,0,34.06; 255,60,0,34.75; 253,16,0,35.84; 254,20,0,35.75; 255,106,0,33.94; 255,103,0,34.06; 250,11,0,36.16; 249,5,0,36.44; 255,171,0,32.66; 255,108,0,33.84; 255,84,0,34.34; 255,60,0,34.94; 255,125,0,33.44; 255,68,0,34.75; 255,216,0,31.66; 255,218,0,31.45; 224,2,0,36.56; 255,115,0,33.94; 255,79,0,34.66; 221,0,0,37.06; 255,171,0,32.25; 255,117,0,33.75; 255,144,0,32.94; 255,44,0,35.25; 255,69,0,34.84; 255,87,0,34.44; 254,29,0,35.66
0,39,254,21.25; 0,86,255,22.55; 0,8,247,20.25; 0,69,255,21.84; 0,79,255,22.05; 0,36,254,21.25; 0,0,208,19.66; 0,0,152,18.25; 0,0,171,18.55; 0,0,220,19.95; 0,27,253,21.05; 0,56,255,21.55; 0,208,255,24.75; 0,0,165,18.45; 0,60,255,21.66; 0,83,255,22.34; 0,1,226,19.75; 0,102,255,22.66; 0,125,255,23.25; 0,64,255,21.84; 0,190,255,24.45; 68,255,188,27.05; 87,255,169,27.45; 225,255,31,30.34; 223,255,33,30.25; 225,255,31,30.25; 255,121,0,33.94; 255,33,0,35.34; 255,148,0,33.06; 254,242,1,30.95; 255,120,0,33.75; 255,103,0,34.25; 255,210,0,31.84; 255,140,0,33.06; 255,195,0,32.06; 255,70,0,34.84; 255,80,0,34.66; 255,78,0,34.66; 255,69,0,34.94; 255,136,0,33.34; 255,71,0,34.75; 255,134,0,33.44; 225,2,0,36.94; 255,41,0,35.34; 255,53,0,34.94; 189,0,0,37.84; 255,191,0,31.95; 207,0,0,37.25; 254,28,0,35.84; 249,11,0,36.44; 255,40,0,35.34; 255,150,0,32.94; 254,34,0,35.56; 255,140,0,33.34; 255,183,0,32.25; 255,190,0,32.06; 234,255,22,30.45; 255,80,0,34.56; 255,79,0,34.44; 255,48,0,35.34; 253,19,0,35.75; 255,66,0,34.84; 255,114,0,33.75; 252,16,0,35.75; 254,26,0,35.56; 255,125,0,33.66; 248,8,0,36.44; 255,121,0,33.66; 255,124,0,33.44; 254,37,0,35.44; 254,31,0,35.56; 255,128,0,33.34; 255,125,0,33.44; 255,110,0,34.06; 255,66,0,34.84; 230,3,0,36.75; 255,126,0,33.34; 255,97,0,34.16; 253,19,0,35.94; 255,103,0,34.06
0,85,255,22.16; 0,80,255,22.16; 0,82,255,22.16; 0,5,241,20.16; 0,20,252,20.95; 0,0,181,18.95; 0,139,255,23.34; 0,0,166,18.34; 0,69,255,22.16; 0,0,202,19.34; 0,0,225,19.84; 0,71,255,21.95; 0,83,255,22.34; 0,61,255,21.55; 0,100,255,23.05; 0,81,255,22.16; 0,2,227,19.95; 4,254,252,25.75; 0,99,255,22.55; 0,128,255,23.45; 47,255,209,26.66; 112,255,144,28.05; 181,255,75,29.45; 236,254,20,30.66; 255,90,0,34.56; 255,139,0,33.25; 255,147,0,32.94; 255,157,0,32.84; 255,131,0,33.56; 255,151,0,32.94; 255,57,0,35.16; 255,109,0,34.06; 255,83,0,34.66; 245,4,0,36.44; 255,102,0,34.06; 255,94,0,34.25; 255,147,0,33.06; 255,98,0,34.16; 255,160,0,32.84; 255,162,0,32.75; 255,196,0,32.06; 255,210,0,31.75; 255,98,0,34.16; 255,115,0,33.75; 255,154,0,32.94; 255,44,0,35.34; 255,49,0,35.16; 255,41,0,35.44; 255,53,0,34.94; 255,41,0,35.34; 255,101,0,34.06; 255,48,0,35.06; 255,39,0,35.44; 255,47,0,35.16; 249,11,0,36.34; 255,71,0,34.66; 255,129,0,33.44; 255,113,0,33.75; 253,27,0,35.66; 255,147,0,33.06; 255,65,0,34.84; 255,68,0,34.75; 255,174,0,32.34; 234,1,0,36.94; 246,6,0,36.34; 244,6,0,36.34; 251,21,0,35.75; 255,204,0,32.16; 255,110,0,33.94; 255,120,0,33.66; 255,82,0,34.66; 255,106,0,34.06; 255,132,0,33.16; 254,34,0,35.56; 255,105,0,33.94; 254,35,0,35.56; 254,27,0,35.75; 255,29,0,35.56; 255,180,0,32.44; 255,179,0,32.66
0,0,131,17.84; 6,255,250,25.84; 0,17,252,20.84; 0,15,251,20.66; 0,82,255,22.34; 0,0,176,18.84; 0,51,255,21.55; 0,0,202,19.34; 0,149,255,23.84; 0,1,226,20.05; 0,5,245,20.55; 0,129,255,23.16; 0,58,255,21.66; 0,75,255,22.05; 0,50,255,21.34; 0,84,255,22.34; 0,47,255,21.25; 0,57,255,21.55; 4,253,252,25.75; 72,255,184,27.34; 156,255,100,28.84; 227,255,29,30.25; 250,247,5,31.05; 255,81,0,34.66; 255,129,0,33.34; 255,121,0,33.84; 247,6,0,36.25; 214,0,0,37.16; 255,44,0,35.44; 255,155,0,32.84; 255,61,0,35.06; 255,118,0,33.66; 255,221,0,31.34; 255,105,0,34.06; 255,104,0,34.06; 255,100,0,34.16; 255,165,0,32.75; 255,17,0,36.16; 255,217,0,31.34; 198,255,58,29.75; 255,136,0,33.34; 255,187,0,32.34; 255,38,0,35.56; 255,35,0,35.56; 255,164,0,32.75; 255,183,0,32.16; 255,147,0,33.25; 255,130,0,33.66; 255,43,0,35.44; 255,146,0,32.94; 255,143,0,33.25; 255,45,0,35.06; 254,38,0,35.56; 255,54,0,34.84; 255,147,0,33.06; 245,9,0,36.25; 255,146,0,32.94; 179,0,0,37.75; 239,1,0,36.75; 255,68,0,34.84; 255,65,0,34.75; 247,9,0,36.25; 249,9,0,36.16; 239,2,0,36.66; 255,135,0,33.16; 255,91,0,34.56; 253,33,0,35.44; 181,0,0,37.66; 255,126,0,33.25; 255,115,0,33.84; 252,24,0,35.84; 255,118,0,33.66; 255,184,0,32.16; 255,104,0,33.94; 235,5,0,36.66; 255,76,0,34.66; 255,61,0,34.94; 255,106,0,33.75; 255,179,0,32.34; 254,21,0,35.94
0,3,229,20.05; 0,19,253,20.84; 0,91,255,22.55; 0,2,230,19.84; 0,0,176,18.66; 0,2,230,19.95; 0,152,255,23.55; 0,5,240,20.45; 0,0,208,19.45; 0,0,188,18.95; 0,142,255,23.45; 0,135,255,23.34; 0,8,251,20.55; 0,99,255,22.66; 9,250,247,25.95; 0,87,255,22.34; 0,45,255,21.25; 0,117,255,22.95; 13,255,243,26.05; 112,255,144,27.95; 48,255,208,26.66; 184,255,72,29.55; 255,87,0,34.56; 255,112,0,34.06; 255,131,0,33.44; 255,125,0,33.66; 202,255,54,29.84; 255,145,0,33.06; 255,118,0,33.84; 255,167,0,32.56; 255,69,0,34.84; 255,126,0,33.34; 255,105,0,34.06; 255,199,0,31.95; 255,107,0,33.94; 255,59,0,35.06; 255,187,0,32.25; 255,124,0,33.44; 255,93,0,34.34; 255,200,0,31.95; 255,46,0,35.44; 255,178,0,32.56; 255,59,0,34.94; 252,20,0,36.34; 255,140,0,33.25; 255,117,0,33.75; 255,50,0,35.06; 255,88,0,34.34; 255,42,0,35.34; 255,209,0,31.66; 255,76,0,34.44; 248,15,0,36.25; 255,148,0,33.06; 255,144,0,33.06; 230,1,0,36.94; 254,33,0,35.66; 255,122,0,33.75; 236,2,0,36.66; 170,0,0,38.25; 255,126,0,33.56; 247,7,0,36.25; 231,1,0,36.94; 254,38,0,35.44; 255,102,0,33.94; 163,0,0,38.16; 165,0,0,38.25; 168,0,0,37.94; 255,113,0,33.75; 235,1,0,36.75; 255,105,0,34.16; 226,255,30,30.34; 255,104,0,34.06; 255,83,0,34.66; 255,89,0,34.34; 254,32,0,35.66; 255,94,0,34.16; 255,68,0,34.75; 226,4,0,36.94; 255,23,0,35.75; 202,0,0,37.56
0,113,255,22.95; 0,48,255,21.55; 0,0,184,19.05; 0,118,255,23.05; 0,65,255,22.05; 0,175,255,24.34; 0,41,255,21.34; 0,49,255,21.45; 0,0,133,17.84; 0,0,133,17.84; 0,54,255,21.55; 0,171,255,24.25; 0,0,218,19.55; 33,255,223,26.45; 1,220,254,25.25; 0,216,255,25.05; 0,161,255,23.84; 0,205,255,24.66; 207,255,49,29.84; 52,255,204,26.84; 229,254,27,30.55; 255,202,0,32.06; 255,131,0,33.44; 255,125,0,33.44; 255,130,0,33.25; 255,125,0,33.56; 255,120,0,33.75; 255,123,0,33.66; 255,115,0,33.84; 255,168,0,32.56; 255,224,0,31.45; 255,113,0,33.84; 212,0,0,37.06; 255,200,0,32.06; 255,170,0,32.75; 255,109,0,33.84; 255,46,0,35.34; 255,106,0,34.06; 255,91,0,34.44; 255,108,0,34.06; 255,133,0,33.34; 255,44,0,35.34; 255,75,0,34.66; 255,114,0,33.84; 255,163,0,32.66; 255,41,0,35.44; 255,68,0,34.75; 255,144,0,32.94; 255,203,0,31.95; 255,121,0,33.66; 255,44,0,35.25; 255,203,0,31.95; 209,0,0,37.25; 255,44,0,35.25; 255,44,0,35.25; 255,57,0,34.94; 255,134,0,33.34; 255,77,0,34.56; 235,1,0,36.56; 255,155,0,32.94; 255,75,0,34.56; 255,94,0,34.16; 255,44,0,35.25; 252,19,0,35.84; 255,84,0,34.56; 255,206,0,31.66; 255,106,0,34.06; 242,0,0,36.66; 255,195,0,32.16; 243,2,0,36.44; 255,109,0,33.84; 255,77,0,34.94; 255,134,0,33.16; 255,94,0,34.25; 255,78,0,34.66; 251,255,5,30.95; 255,101,0,33.94; 249,255,6,30.75; 255,82,0,34.44; 255,52,0,35.06
